CSU_TRAIT_ID,TRT,H_num,HT,L_num,LWS,LWD,RWD,LWF_A,LWS_A,LWD_A,LWF_B,LWS_B,LWD_B,NOTES,Round
ELTR_CULT_PRY_46,D,2,8.4,2,0.0105,0.003,0.0042,,,,,,,,B
ELTR_CULT_PRY_47,B,2,8,2,0.0139,0.0052,0.0032,,,,,,,,B
ELTR_CULT_PRY_48,C,1,9.6,2,0.0192,0.0044,0.0037,,,,,,,,B
ELTR_CULT_PRY_49,C,1,9.6,2,0.0141,0.003,0.0024,,,,,,,,B
ELTR_CULT_PRY_50,C,1,11,2,0.0205,0.0049,0.004,,,,,,,,B
ELTR_CULT_PRY_51,C,1,8.4,2,0.0121,0.0029,0.0023,,,,,,,,B
ELTR_CULT_PRY_52,C,1,8.5,2,0.0105,0.002,0.0025,,,,,,,,B
ELTR_CULT_PRY_53,B,2,8.9,2,0.0094,0.0022,0.003,,,,,,,,B
ELTR_CULT_PRY_54,D,2,7.5,2,0.011,0.0027,0.0019,,,,,,,,B
ELTR_CULT_PRY_55,D,1,9.9,2,0.0203,0.0048,0.0032,,,,,,,,B
ELTR_CULT_PRY_56,C,2,12.9,3,0.029,0.0063,0.0052,,,,,,,,B
ELTR_CULT_PRY_58,B,1,9.5,2,0.0113,0.0028,0.0015,,,,,,,,B
ELTR_CULT_PRY_59,D,1,6.4,1,0.0057,0.0009,0.0012,,0.0065,0.0034,,0.0046,0.001,,B
ELTR_CULT_PRY_60,B,1,8.3,1,0.0081,0.0017,0.0018,,,,,,,,B
ELTR_CULT_RV_37,C,2,12.6,3,0.036,0.0071,0.0072,,,,,,,,B
